DATE,HOUR.MST,CLOUDCOVER
6/4/2017,19,8.4667
6/4/2017,20,-0.4833
6/4/2017,21,-1
6/4/2017,22,-1
6/4/2017,23,-1
6/5/2017,0,-1
6/5/2017,1,-1
6/5/2017,2,-1
6/5/2017,3,-1
6/5/2017,4,-1
6/5/2017,5,-0.65
6/5/2017,6,7.55
6/5/2017,7,9.85
6/5/2017,8,11.4833
6/5/2017,9,12.4
6/5/2017,10,34.1167
6/5/2017,11,86.9167
6/5/2017,12,96.9667
6/5/2017,13,92
6/5/2017,14,66.2833
6/5/2017,15,97.3167
6/5/2017,16,98.35
6/5/2017,17,97.1667
6/5/2017,18,94.2167
6/5/2017,19,28.35
6/5/2017,20,-0.1667
6/5/2017,21,-1
6/5/2017,22,-1
6/5/2017,23,-1
6/6/2017,0,-1
6/6/2017,1,-1
6/6/2017,2,-1
6/6/2017,3,-1
6/6/2017,4,-1
6/6/2017,5,-0.1833
6/6/2017,6,24.9167
6/6/2017,7,36.25
6/6/2017,8,16.2167
6/6/2017,9,38.3333
6/6/2017,10,37.0667
6/6/2017,11,16.9667
6/6/2017,12,84.6333
6/6/2017,13,97.4
6/6/2017,14,94.8
6/6/2017,15,97.5833
6/6/2017,16,98.75
6/6/2017,17,98.1833
6/6/2017,18,83.7667
6/6/2017,19,17.1667
6/6/2017,20,-0.2
6/6/2017,21,-1
6/6/2017,22,-1
6/6/2017,23,-1
6/7/2017,0,-1
6/7/2017,1,-1
6/7/2017,2,-1
6/7/2017,3,-1
6/7/2017,4,-1
6/7/2017,5,-0.2667
6/7/2017,6,11.4333
6/7/2017,7,12.9667
6/7/2017,8,14.5333
6/7/2017,9,14.4
6/7/2017,10,9.3833
6/7/2017,11,12.5833
6/7/2017,12,30.7
6/7/2017,13,37.4833
6/7/2017,14,78.1167
6/7/2017,15,94.3333
6/7/2017,16,76.8
6/7/2017,17,60.2
6/7/2017,18,12.9
6/7/2017,19,16.8667
6/7/2017,20,0.4
6/7/2017,21,-1
6/7/2017,22,-1
6/7/2017,23,-1
6/8/2017,0,-1
6/8/2017,1,-1
6/8/2017,2,-1
6/8/2017,3,-1
6/8/2017,4,-1
6/8/2017,5,-0.5333
6/8/2017,6,7.7833
6/8/2017,7,10.0167
6/8/2017,8,11.3333
6/8/2017,9,10.3833
6/8/2017,10,8.35
6/8/2017,11,7.7833
6/8/2017,12,9.2333
6/8/2017,13,13.0833
6/8/2017,14,40
6/8/2017,15,57.1833
6/8/2017,16,94.0667
6/8/2017,17,96.4
6/8/2017,18,96.05
6/8/2017,19,84.5333
6/8/2017,20,3
6/8/2017,21,-1
6/8/2017,22,-1
6/8/2017,23,-1
6/9/2017,0,-1
6/9/2017,1,-1
6/9/2017,2,-1
6/9/2017,3,-1
6/9/2017,4,-1
6/9/2017,5,-0.5333
6/9/2017,6,11.15
6/9/2017,7,13.9667
6/9/2017,8,23.0167
6/9/2017,9,55.0167
6/9/2017,10,42.9
6/9/2017,11,49.3167
6/9/2017,12,94.65
6/9/2017,13,88.95
6/9/2017,14,43.2
6/9/2017,15,15.4667
6/9/2017,16,10.6333
6/9/2017,17,11.5167
6/9/2017,18,10.4167
6/9/2017,19,8.7333
6/9/2017,20,-0.2
6/9/2017,21,-1
6/9/2017,22,-1
6/9/2017,23,-1
6/10/2017,0,-1
6/10/2017,1,-1
6/10/2017,2,-1
6/10/2017,3,-1
6/10/2017,4,-1
6/10/2017,5,0
6/10/2017,6,26.9833
6/10/2017,7,21.2833
6/10/2017,8,16.3833
6/10/2017,9,24.7
6/10/2017,10,14.4
6/10/2017,11,9.5667
6/10/2017,12,11.7
6/10/2017,13,33.7667
6/10/2017,14,32.5167
6/10/2017,15,21.9
6/10/2017,16,40.2833
6/10/2017,17,90.3667
6/10/2017,18,87.3333
6/10/2017,19,37.4667
6/10/2017,20,0.4833
6/10/2017,21,-1
6/10/2017,22,-1
6/10/2017,23,-1
6/11/2017,0,-1
6/11/2017,1,-1
6/11/2017,2,-1
6/11/2017,3,-1
6/11/2017,4,-1
6/11/2017,5,-0.0833
6/11/2017,6,48.95
6/11/2017,7,79.4
6/11/2017,8,65.8333
6/11/2017,9,26.9833
6/11/2017,10,69.1167
6/11/2017,11,78.45
6/11/2017,12,89.35
6/11/2017,13,84.6167
